,time,filename,bats_present,confidence
994,994,bat2_24june_2200_newchunks/imgs/chunk994square.png,True,0.6171880000000001
998,998,bat2_24june_2200_newchunks/imgs/chunk998square.png,True,0.6171880000000001
1004,1004,bat2_24june_2200_newchunks/imgs/chunk1004square.png,True,1.0
1006,1006,bat2_24june_2200_newchunks/imgs/chunk1006square.png,True,0.992188
1007,1007,bat2_24june_2200_newchunks/imgs/chunk1007square.png,True,0.722656
1012,1012,bat2_24june_2200_newchunks/imgs/chunk1012square.png,True,1.0
1013,1013,bat2_24june_2200_newchunks/imgs/chunk1013square.png,True,1.0
1014,1014,bat2_24june_2200_newchunks/imgs/chunk1014square.png,True,1.0
1015,1015,bat2_24june_2200_newchunks/imgs/chunk1015square.png,True,1.0
1061,1061,bat2_24june_2200_newchunks/imgs/chunk1061square.png,True,1.0
1062,1062,bat2_24june_2200_newchunks/imgs/chunk1062square.png,True,1.0
1063,1063,bat2_24june_2200_newchunks/imgs/chunk1063square.png,True,1.0
1064,1064,bat2_24june_2200_newchunks/imgs/chunk1064square.png,True,1.0
1065,1065,bat2_24june_2200_newchunks/imgs/chunk1065square.png,True,1.0
1066,1066,bat2_24june_2200_newchunks/imgs/chunk1066square.png,True,1.0
1067,1067,bat2_24june_2200_newchunks/imgs/chunk1067square.png,True,1.0
1068,1068,bat2_24june_2200_newchunks/imgs/chunk1068square.png,True,0.980469
1071,1071,bat2_24june_2200_newchunks/imgs/chunk1071square.png,True,0.875
1073,1073,bat2_24june_2200_newchunks/imgs/chunk1073square.png,True,1.0
1076,1076,bat2_24june_2200_newchunks/imgs/chunk1076square.png,True,1.0
1077,1077,bat2_24june_2200_newchunks/imgs/chunk1077square.png,True,1.0
1078,1078,bat2_24june_2200_newchunks/imgs/chunk1078square.png,True,1.0
1079,1079,bat2_24june_2200_newchunks/imgs/chunk1079square.png,True,1.0
1080,1080,bat2_24june_2200_newchunks/imgs/chunk1080square.png,True,0.980469
1081,1081,bat2_24june_2200_newchunks/imgs/chunk1081square.png,True,1.0
1082,1082,bat2_24june_2200_newchunks/imgs/chunk1082square.png,True,1.0
1084,1084,bat2_24june_2200_newchunks/imgs/chunk1084square.png,True,1.0
1085,1085,bat2_24june_2200_newchunks/imgs/chunk1085square.png,True,1.0
1087,1087,bat2_24june_2200_newchunks/imgs/chunk1087square.png,True,1.0
1088,1088,bat2_24june_2200_newchunks/imgs/chunk1088square.png,True,1.0
1089,1089,bat2_24june_2200_newchunks/imgs/chunk1089square.png,True,1.0
1165,1165,bat2_24june_2200_newchunks/imgs/chunk1165square.png,True,0.875
1199,1199,bat2_24june_2200_newchunks/imgs/chunk1199square.png,True,1.0
1246,1246,bat2_24june_2200_newchunks/imgs/chunk1246square.png,True,0.949219
1321,1321,bat2_24june_2200_newchunks/imgs/chunk1321square.png,True,1.0
1322,1322,bat2_24june_2200_newchunks/imgs/chunk1322square.png,True,0.949219
1326,1326,bat2_24june_2200_newchunks/imgs/chunk1326square.png,True,1.0
1328,1328,bat2_24june_2200_newchunks/imgs/chunk1328square.png,True,0.980469
1329,1329,bat2_24june_2200_newchunks/imgs/chunk1329square.png,True,1.0
1335,1335,bat2_24june_2200_newchunks/imgs/chunk1335square.png,True,1.0
1336,1336,bat2_24june_2200_newchunks/imgs/chunk1336square.png,True,0.875
1360,1360,bat2_24june_2200_newchunks/imgs/chunk1360square.png,True,1.0
1417,1417,bat2_24june_2200_newchunks/imgs/chunk1417square.png,True,0.949219
